Best, Mean
39.35,40.222
39.35,40.222
39.35,40.222
39.35,40.222
39.35,40.222
39.35,40.222
39.35,40.222
39.35,40.22
39.35,40.22
39.35,40.22
39.35,40.22
39.35,40.22
39.35,40.22
39.35,40.218
39.35,40.218
39.35,40.218
39.35,40.218
39.35,40.218
39.35,40.216
39.35,40.216
39.35,40.216
39.35,40.216
39.35,40.216
39.35,40.216
39.35,40.216
39.35,40.216
39.35,40.216
39.35,40.216
39.35,40.216
39.35,40.216
39.35,40.214
39.35,40.214
39.35,40.19
39.35,40.19
39.35,40.19
39.35,40.142
39.35,40.138
39.35,40.138
39.35,40.138
39.35,40.138
39.35,40.138
39.35,40.138
39.35,40.138
39.35,40.138
39.35,40.138
39.35,40.138
39.35,40.138
39.35,40.138
39.35,40.138
39.35,40.138
39.35,40.138
39.35,40.138
39.35,40.138
39.35,40.138
39.35,40.096
39.35,40.096
39.35,40.096
39.35,40.096
39.35,40.096
39.35,40.096
39.35,40.096
39.35,40.096
39.35,40.096
39.35,40.096
39.35,40.096
39.35,40.052
39.35,40.052
39.35,40.052
39.35,40.05
39.35,40.05
39.35,40.048
39.35,40.048
39.35,40.048
39.35,40.008
39.35,40.008
39.35,39.978
39.35,39.974
39.35,39.974
39.35,39.974
39.35,39.944
39.35,39.944
39.35,39.944
39.35,39.944
39.35,39.944
39.35,39.944
39.35,39.944
39.35,39.944
39.35,39.944
39.35,39.944
39.35,39.944
39.35,39.944
39.35,39.944
39.35,39.944
39.35,39.944
39.35,39.944
39.35,39.944
39.35,39.944
39.35,39.944
39.35,39.944
39.35,39.944
39.35,39.944
39.35,39.944
39.35,39.942
39.35,39.942
39.35,39.942
39.35,39.942
39.35,39.942
39.35,39.942
39.35,39.942
39.35,39.942
39.35,39.942
39.35,39.942
39.25,39.892
39.25,39.892
39.25,39.892
39.25,39.892
39.25,39.892
39.25,39.892
39.25,39.892
39.25,39.892
39.25,39.892
39.25,39.892
39.25,39.892
39.25,39.892
39.25,39.892
39.25,39.892
39.25,39.892
39.25,39.892
39.25,39.892
39.25,39.892
39.25,39.892
39.25,39.89
39.25,39.89
39.25,39.89
39.25,39.89
39.25,39.852
39.25,39.85
39.25,39.85
39.25,39.85
39.25,39.85
39.25,39.85
39.25,39.85
39.25,39.85
39.25,39.85
39.25,39.85
39.25,39.85
39.25,39.85
39.25,39.85
39.25,39.85
39.25,39.812
39.25,39.812
39.25,39.812
39.25,39.812
39.25,39.812
39.25,39.812
39.25,39.812
39.25,39.812
39.25,39.812
39.25,39.812
39.25,39.812
39.25,39.812
39.25,39.812
39.25,39.804
39.25,39.804
39.25,39.756
39.25,39.756
39.25,39.756
39.25,39.756
39.25,39.756
39.25,39.756
39.25,39.756
39.25,39.756
39.25,39.756
39.25,39.756
39.25,39.756
39.25,39.756
39.25,39.756
39.25,39.708
39.25,39.708
39.25,39.708
39.25,39.708
39.25,39.708
39.25,39.708
39.25,39.708
39.25,39.708
39.25,39.708
39.25,39.708
39.25,39.708
39.25,39.708
39.25,39.708
39.25,39.708
39.25,39.708
39.25,39.708
39.25,39.708
39.25,39.708
39.25,39.708
39.25,39.708
39.25,39.708
39.25,39.708
39.25,39.676
39.25,39.676
39.25,39.676
39.25,39.676
39.25,39.676
39.25,39.676
39.25,39.676
39.25,39.676
39.25,39.676
39.25,39.676
39.25,39.676
39.25,39.676
39.25,39.676
39.25,39.676
39.25,39.676
39.25,39.676
39.25,39.676
39.25,39.676
39.25,39.676
39.25,39.676
39.25,39.676
39.25,39.676
39.25,39.676
39.25,39.632
39.25,39.632
39.25,39.632
39.25,39.632
39.25,39.632
39.25,39.632
39.25,39.632
39.25,39.632
39.25,39.632
39.25,39.632
39.25,39.632
39.25,39.632
39.25,39.632
39.2,39.584
39.2,39.546
39.2,39.546
39.2,39.546
39.2,39.522
39.2,39.492
39.2,39.492
39.2,39.492
39.2,39.492
39.2,39.492
39.2,39.492
39.2,39.492
39.2,39.492
39.2,39.492
39.2,39.492
39.2,39.492
39.2,39.492
39.2,39.492
39.2,39.492
39.2,39.492
39.2,39.492
39.2,39.492
